Kanji,Furigana,Meaning
魚,うお さかな -ざかな,Fish
一,ひと- ひと.つ,One | One Radical (no.1)
卵,たまご,Egg | Ovum | Spawn | Roe
水,みず みず-,Water
食,く.う く.らう た.べる は.む,Eat | Food
飲,の.む -の.み,Drink | Smoke | Take
大,おお- おお.きい -おお.いに,Large | Big
小,ちい.さい こ- お- さ-,Little | Small
二,ふた ふた.つ ふたたび,Two | Two Radical (no. 7)
古,ふる.い ふる- -ふる.す,Old
月,つき,Month | Moon
火,ひ -び ほ-,Fire
水,みず みず-,Water
木,き こ-,Tree | Wood
金,かね かな- -がね,Gold
土,つち,Soil | Earth | Ground | Turkey
日,ひ -び -か,Day | Sun | Japan | Counter For Days
言,い.う こと,Say | Word
話,はな.す はなし,Tale | Talk
読,よ.む -よ.み,Read
見,み.る み.える み.せる,See | Hopes | Chances | Idea | Opinion | Look At | Visible
聞,き.く き.こえる,Hear | Ask | Listen
書,か.く -が.き -がき,Write
一,ひと- ひと.つ,One | One Radical (no.1)
二,ふた ふた.つ ふたたび,Two | Two Radical (no. 7)
三,み み.つ みっ.つ,Three
四,よ よ.つ よっ.つ よん,Four
五,いつ いつ.つ,Five
六,む む.つ むっ.つ むい,Six
七,なな なな.つ なの,Seven
八,や や.つ やっ.つ よう,Eight | Eight Radical (no. 12)
九,ここの ここの.つ,Nine
十,とお と,Ten
東,ひがし,East
西,にし,West | Spain
南,みなみ,South
北,きた,North
東,ひがし,East
西,にし,West | Spain
北,きた,North
南,みなみ,South
買,か.う,Buy
買,か.う,Buy
金,かね かな- -がね,Gold
百,もも,Hundred
千,ち,Thousand
万,よろず,"Ten Thousand | 10,000"
百,もも,Hundred
千,ち,Thousand
一,ひと- ひと.つ,One | One Radical (no.1)
行,い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う おこ.なう,Going | Journey | Carry Out | Conduct | Act | Line | Row | Bank
来,く.る きた.る きた.す き.たす き.たる き こ,Come | Due | Next | Cause | Become
会,あ.う あ.わせる あつ.まる,Meeting | Meet | Party | Association | Interview | Join
休,やす.む やす.まる やす.める,Rest | Day Off | Retire | Sleep
九,ここの ここの.つ,Nine
東,ひがし,East
時,とき -どき,Time | Hour
分,わ.ける わ.け わ.かれる わ.かる わ.かつ,Part | Minute Of Time | Segment | Share | Degree | One's Lot | Duty | Understand | Know | Rate | 1% | Chances | Shaku/100
半,なか.ば,Half | Middle | Odd Number | Semi- | Part-
日,ひ -び -か,Day | Sun | Japan | Counter For Days
年,とし,Year | Counter For Years
月,つき,Month | Moon
日,ひ -び -か,Day | Sun | Japan | Counter For Days
口,くち,Mouth
口,くち,Mouth
口,くち,Mouth
口,くち,Mouth
口,くち,Mouth
円,まる.い まる まど まど.か まろ.やか,Circle | Yen | Round
円,まる.い まる まど まど.か まろ.やか,Circle | Yen | Round
円,まる.い まる まど まど.か まろ.やか,Circle | Yen | Round
万,よろず,"Ten Thousand | 10,000"
円,まる.い まる まど まど.か まろ.やか,Circle | Yen | Round
本,もと,Book | Present | Main | Origin | True | Real | Counter For Long Cylindrical Things
京,みやこ,Capital | 10**16
